Text,Letter,Alliteration
Janie read a book by the babbling brook.,b,book-babbling-brook
The child bounced the ball at the backyard barbeque.,b,bounced-ball-backyard-barbecue
The barbarians broke through the barricade.,b,barbarians-broke-barricade
"He acts silly at times, but he was blessed with a brilliant brain.",b,blessed-brilliant-brain
The beautiful bouquet blossomed in the bright sun.,b,beautiful-bouquet-blossomed-bright
"When the canary keeled over, the coal miners left the cave.",c,canary-coal-cave
The captain couldn't keep the men in the cabin.,c,captain-couldn't-keep-cabin
Erin cooked cupcakes in the kitchen.,c-k,cooked-cupcakes-kitchen
My Cadillac was completely crushed in a car crash.,c,cadillac-completely-crushed-car-crash
The candy was killing my cavity.,c,candy-killing-cavity
"Despite their mother's warnings, the children chose to chew with their mouths open.",c,children-chose-chew
The rich man was so cheap that it was chilling.,c,cheap-chilling
The crowd cheered when the champion hit the challenger with a chair.,c,cheered-champion-challenger-chair
We sat around the campfire and chomped on chunks of charred chicken.,c,chomped-chunks-charred-chicken
Change the channel.,c,change-channel
"They would have been on time, if they didn’t dilly-dally.",d,didn't-dilliy-dally
He dunked the delicious donut in dairy creamer.,d,dunked-delicious-donut-dairy
There is nothing but death in the desert during the day.,d,death-desert-during-day
"I woke up at school in a slobbery pool; though I used to be dry, now I’m drowning in drool.",d,dry-drowning-drool
I dreamt of a drip-dropping drain in my dream.,d,dreamt-drip-dropping-drain-dream
Your friends will flip-flop fast when facing trouble.,f,friends-flip-flop-fast-facing
Our financial future fell into a freefall.,f,financial-future-fell-freefall
The stuntman flipped from a forty foot Ferris wheel.,f,flipped-from-forty-foot-ferris
I forgot my flip phone but felt free.,f,forgot-flip-phone-felt-free
That's the first photo of France from the Moon.,f,first-photo-france-from
"When the tests were distributed, the guys grimaced and groaned.",g,guys-grimaced-groaned
The girl grabbed the golden goose and ran.,g,girl-grabbed-golden-goose
Grass grows greener in the graveyard.,g,grass-grows-greener-graveyard
The ghouls and ghosts greeted the gangly goblins.,g,ghouls-ghosts-greeted-gangly-goblins
I reached under the desk and grabbed the gross gum.,g,grabbed-gross-gum
The hummingbirds hovered in heavenly harmony.,h,hummingbirds-hovered-heavenly-harmony
She happily helped the homeless.,h,happily-helped-horses
The hecklers hassled the humble harmonica player.,h,hecklers-hassled-humble-harmonica
"After Monique dumped Brian, his heart hung heavily.",h,his-heart-hung-heavily
Those horses have heavy hooves.,h,horses-have-heavy-hooves
