,Text,Metaphor
0,My eyes are an ocean of blue.,Y
1,Today is a prison and I am the inmate.,Y
2,The snow is a white blanket.,Y
3,Her long hair was a flowing golden river.,Y
4,Tom's eyes were ice as he stared at her.,Y
5,The children were flowers grown in concrete gardens.,Y
6,The falling snowflakes are dancers.,Y
7,The calm lake was a mirror.,Y
8,John's suggestion was just a Band-Aid for the problem.,Y
9,Chaos is a friend of mine.,Y
10,His eyes are saucers.,Y
11,She is an early bird.,Y
12,His memories were cloudy.,Y
13,Love is a battlefield.,Y
14,Love is a garden.,Y
15,Love is a fine wine.,Y
16,Love is a thrill ride.,Y
17,Love is rapture.,Y
18,Love is war.,Y
19,Love is a captive animal.,Y
20,Love is a physical force.,Y
21,Love is a natural force.,Y
22,Love is fire.,Y
23,Love is a fluid in a container.,Y
24,Love is a journey.,Y
25,Love is a nutrient.,Y
26,My pulse is a race car.,Y
27,The teenager's stomach was a bottomless pit.,Y
28,He was a pig at dinner.,Y
29,The alligator's teeth are white daggers.,Y
30,The classroom was a zoo.,Y
31,Love is a river.,Y
32,She is a star.,Y
33,Time is money.,Y
34,Information is power.,Y
35,Money is power.,Y
36,The night sky was a blanket of stars.,Y
37,All the world is a stage.,Y
38,I am a prisoner.,Y
39,She is a girl.,N
40,He is a boy.,N
41,She was a girl.,N
42,He was a boy.,N
43,She is a woman.,N
44,He is a man.,N
45,She is the queen.,N
46,He is the king.,N
47,She is a lawyer.,N
48,He is an artist. ,N
49,They are an activist.,N
50,Alex is a nice person.,N
51,He is a cricketer.,N
52,She is a clever girl.,N
53,Robin is a hard-working person.  ,N
54,Shaun is an exciting cricketer.,N
55,Watson is a dashing man.,N
56,She is a student.,N
57,She is a brilliant student.,N
58,That is an interesting novel.,N
