,Unnamed: 0,Text,Metaphor,Spacy,WUP
0,0,He was a wilted flower in her presence.,Y,0.27094390988349915,0.1111111111111111
1,1,He was a rather frightened flower in her presence.,Y,0.09101121872663498,0.11764705882352941
2,2,"She was on the final railway tracks of life, approaching the judgment of the terminal station.",Y,0.24001973867416382,0.14285714285714285
3,3,He was in a state of high terror at the rough justice being meted out.,Y,0.160052090883255,0.18181818181818182
4,4,The blue evening bells still ring from the twilit towers,Y,0.31949397921562195,0.11764705882352941
5,5,The white voice talked to me: Kill yourself!,Y,0.19536080956459045,0.16666666666666666
6,6,I had a rather blue and ideological disgusted feeling.,Y,0.28592342138290405,0.46153846153846156
7,7,The old woman had an open heart.,Y,0.4519903361797333,0.16666666666666666
8,8,The rich man had a cold heart.,Y,0.3480478525161743,0.2
9,9,The stone statue had a cold smell.,Y,0.45287197828292847,0.19047619047619047
10,10,Her barren womb led to her cold demeanour,Y,0.22731712460517883,0.0
11,11,Poor witnesses for people are eyes and ears if they possess barbarian souls.,Y,0.23567336797714233,0.2
12,12,A dry gleam of light is the wisest and best soul.,Y,0.2633988857269287,0.125
13,13,'He had a deep dark secret.',Y,0.3781295120716095,0.3333333333333333
14,14,"Previously these communities were imposed on us, along with their mental weather.",Y,0.19947154819965363,0.18181818181818182
15,15,But the real magic is witnessing her mind and imagination at work. They are as fertile and supple as jazz.,Y,0.3802647292613983,0.25
16,16,"His mind was a synthetic sky: blue, blank, cloudless.",Y,0.1257287859916687,0.4
17,17,"His mind was filled with clear sentences, as if written there.",Y,0.2994906008243561,0.3076923076923077
18,18,Our scrambled brains are starting to make sense that none of it makes sense.,Y,0.315850168466568,0.16666666666666666
19,19,When it came to the big moment he got cold feet.,Y,0.4404279887676239,0.25
20,20,"The serial killer had a dark, dented skull.",Y,0.4122031033039093,0.15384615384615385
21,21,Memory is a tough place.,Y,0.3931678831577301,0.2
22,22,The mind has black trees.,Y,0.22868309915065765,0.1111111111111111
23,23,"I only have slow, brown thoughts",Y,0.3057779371738434,0.14285714285714285
24,24,Dare you see a soul at the white heat?,Y,0.27892395853996277,0.3076923076923077
25,25,"In the red glare of the digital clock, my brain rattled its cage.",Y,0.2926380932331085,0.625
26,26,The red silence enveloped everyone after the accident.,Y,0.211687833070755,0.42857142857142855
27,27,The candy had a very blue taste! ,Y,0.24704855680465698,0.23529411764705882
28,28,The actress beautiful footsteps in the movie.,Y,0.1914370059967041,0.14285714285714285
29,29,The artist has the brightest touch with a paintbrush.,Y,0.18506596982479095,0.0
30,30,His soft intentions will not help him achieve his goals. ,Y,0.12354836612939835,0.2
31,31,The police officer's warm thinking comforted the victim. ,Y,0.30133575201034546,0.18181818181818182
32,32,A sweet silence clouded the stadium after the win/,Y,0.2711165249347687,0.14285714285714285
33,33,Having safe thoughts is a talent only given to some. ,Y,0.23994453251361847,0.11764705882352941
34,34,The pasta I had at the restaurant yesterday had a very quiet taste.,Y,0.2976929247379303,0.16666666666666666
35,35,A heavy dream is one burdened by responsibilities. ,Y,0.20626656711101532,0.11764705882352941
36,36,The new car's sexy design changed the fortunes of the company.,Y,0.4438353478908539,0.16666666666666666
37,37,"He was dressed rather vulgarly in a loud, black suit.",Y,0.1947716325521469,0.16666666666666666
38,38,The policeman let him off with a yellow card. ,Y,0.24706105887889862,0.25
39,39,"Crocodiles teeth are white daggers, so be careful. ",Y,0.19393739104270935,0.42105263157894735
40,40,I love that really big old green antique car that is always parked at the end of the street. ,N,0.3475572168827057,0.14285714285714285
41,41,My sister has a beautiful big white bulldog.,N,0.16220049560070038,0.14285714285714285
42,42,He has a bigger house than that one.,N,0.32729172706604004,0.18181818181818182
43,43,This is a more beautiful flower.,N,0.502759575843811,0.14285714285714285
44,44,He is a more intelligent boy than him.,N,0.23886796832084656,0.18181818181818182
45,45,Jonathan is the most handsome man on campus.,N,0.512536883354187,0.0
46,46,I lost my most comfortable shoes.,N,0.4026661515235901,0.18181818181818182
47,47,I have a worse job than you.,N,0.3937229812145233,0.26666666666666666
48,48,Lisa is wearing a sleeveless shirt today. ,N,0.5834414958953857,0.16666666666666666
49,49,This is not edible soup.,N,0.39715588092803955,0.18181818181818182
50,50,He writes meaningless letters.,N,0.3066924810409546,0.15384615384615385
51,51,This is a much nicer shop.,N,0.3017849624156952,0.0
52,52,Ben is an adorable baby.,N,0.5644403696060181,0.16666666666666666
53,53,Linda has gorgeous hair.,N,0.40132442116737366,0.18181818181818182
54,54,I met a homeless person in NY.,N,0.3557869791984558,0.75
55,55,"Ancient, precious coins are exhibited in this museum.",N,0.44172370433807373,0.16666666666666666
56,56,What a delicious taste of this apple.,N,0.6925925016403198,0.10526315789473684
57,57,"I have got a little money, it is enough to buy this book.",N,0.4118744730949402,0.46153846153846156
58,58,My dog has blue eyes and fluffy skin.,N,0.5177332758903503,0.25
59,59,This night we have an appointment at a big restaurant for a corporate meeting.,N,0.2946185767650604,0.18181818181818182
60,60,A large car can not pass through a narrow road.,N,0.2992973327636719,0.11764705882352941
61,61,"Ew, these are such bitter cakes.",N,0.2436041682958603,0.2
62,62,Look! That is my personal phone. You can't look without permission.,N,0.40362536907196045,0.25
63,63,That sure is a joyful child!,N,0.37652090191841125,0.2
64,64,My son has a disgusting bedroom.,N,0.14994865655899048,0.14285714285714285
65,65,She is the smartest girl in class.,N,0.18655015528202057,0.0
66,66,"It was a long, beautiful summer.",N,0.4675311744213104,0.2
67,67,We had a fabulous and exciting time on vacation.,N,0.35290709137916565,0.2
68,68,Working in the danp and dreary mines takes a toll on you.,Y,,0.0
69,69,"Today is a crisp, cool spring day.",N,0.19250060617923737,0.25
70,70,She donated her old cashmere sweater.,N,0.24701522290706635,0.13333333333333333
71,71,Julia was wearing her huge gold earrings.,N,0.1892445832490921,0.16666666666666666
72,72,Joe demolished his dilapidated wooden shed.,N,0.4388754963874817,0.14285714285714285
73,73,The boring presentation is finally over.,N,0.3145129978656769,0.5
74,74,The incredibly tired bear was lying down.,N,0.32188817858695984,0.1
75,75,The beach has very high waves.,N,0.3156225085258484,0.3076923076923077
76,76,The beautiful sweater with exquisite embroidery was made by hand.,N,0.3216360807418823,0.16666666666666666
77,77,I walked away from the scary man,N,0.35564520955085754,0.0
78,78,The extremely loud party next store was getting on my nerves.,N,0.22302350401878357,0.2222222222222222
79,79,The overly angry onlookers started a riot.,N,0.4421241879463196,0.18181818181818182
